time,prediction,confidence,price
2026-02-17T11:05:42.952007,DOWN,0.8764245600382642,67916.36
2026-02-17T11:06:43.224422,DOWN,0.8301328366345453,67925.19
2026-02-17T11:08:43.618295,DOWN,0.6608101893905496,68047.47
2026-02-17T11:09:43.833150,UP,0.8239649793960584,68074.3
2026-02-17T11:10:44.099922,UP,0.7144590764725903,68055.99
2026-02-17T11:11:44.310599,DOWN,0.9032782688846033,68182.71
2026-02-17T11:12:44.544686,UP,0.9721960365443928,68174.79
2026-02-17T11:13:44.773199,UP,0.9150879164938481,68162.84
2026-02-17T11:14:44.987823,DOWN,0.6730795816793526,68164.65
2026-02-17T11:15:45.203494,UP,0.721127490650241,68180.01
2026-02-17T11:16:45.420865,UP,0.9515440989871318,68161.99
2026-02-17T11:17:45.616595,UP,0.7582702540715405,68151.02
2026-02-17T11:19:46.089030,UP,0.6757383843704763,68229.01
2026-02-17T11:20:46.301433,UP,0.9618657409751563,68219.99
2026-02-17T11:21:46.542283,DOWN,0.8128513991365415,68175.99
2026-02-17T11:22:46.756895,UP,0.7845968924502185,68223.3
2026-02-17T11:23:46.958873,UP,0.9898157340302794,68228.08
2026-02-17T11:24:47.179973,UP,0.9602723718334314,68222.12
2026-02-17T11:26:47.646551,UP,0.9787128837513741,68234.1
2026-02-17T11:27:47.863039,UP,0.9040333889744848,68263.2
2026-02-17T11:29:48.355543,UP,0.8893707971551008,68242.49
2026-02-17T11:30:48.593447,UP,0.8261705533829653,68252.57
2026-02-17T11:31:48.835051,UP,0.9607096247533738,68247.44
2026-02-17T11:33:49.291774,UP,0.9634587580721535,68263.24
2026-02-17T11:34:49.506453,UP,0.7014707063025925,68263.25
2026-02-17T11:35:49.727320,UP,0.824010015945184,68296.0
2026-02-17T11:36:49.966148,DOWN,0.7815244779939292,68320.28
2026-02-17T11:38:50.396895,UP,0.6688715991313456,68368.01
2026-02-17T11:39:50.633618,UP,0.9357072767852076,68406.0
2026-02-17T11:40:50.845175,UP,0.9560168967776671,68406.0
2026-02-17T11:41:51.072331,UP,0.8414715549824497,68424.61
2026-02-17T11:42:51.298230,UP,0.837312115754428,68416.44
2026-02-17T11:43:51.517867,DOWN,0.8584309947469071,68375.8
2026-02-17T11:46:52.188973,UP,0.76193477899255,68393.39
2026-02-17T11:50:53.087661,UP,0.9231294792778639,68391.15
2026-02-17T11:51:53.329858,UP,0.6697946652655827,68376.14
2026-02-17T11:52:53.558616,DOWN,0.9313985044559059,68375.86
2026-02-17T11:53:53.773577,DOWN,0.7051509347258464,68356.01
2026-02-17T11:54:53.979138,UP,0.8249771720711049,68359.8
2026-02-17T11:56:54.473248,UP,0.8431949765452267,68320.78
2026-02-17T11:57:54.706757,UP,0.9909198360889057,68345.78
2026-02-17T11:59:55.145074,UP,0.8841644199432492,68433.05
