timestamp,open,high,low,close,volume,trades
2026-02-16 00:47:00,68803.69,68847.68,68803.68,68825.77,3.8016,2358
2026-02-16 00:48:00,68825.76,68858.09,68823.01,68837.0,3.48012,1685
2026-02-16 00:49:00,68837.01,68856.17,68822.78,68854.45,1.1431,1116
2026-02-16 00:50:00,68854.45,68874.0,68844.0,68852.66,8.09508,2291
2026-02-16 00:51:00,68852.66,68932.49,68852.66,68911.73,8.6144,3181
2026-02-16 00:52:00,68911.72,68940.2,68904.32,68940.2,3.48935,3172
2026-02-16 00:53:00,68940.19,68940.2,68911.89,68935.65,6.44988,2366
2026-02-16 00:54:00,68935.66,68950.0,68895.13,68911.7,4.92894,2318
2026-02-16 00:55:00,68911.7,68918.1,68895.13,68904.57,2.05642,1079
2026-02-16 00:56:00,68904.57,68904.57,68873.1,68873.11,5.51496,1862
2026-02-16 00:57:00,68873.11,68898.55,68873.11,68892.0,8.93954,1576
2026-02-16 00:58:00,68892.0,68895.34,68868.89,68868.89,6.56943,1287
2026-02-16 00:59:00,68868.89,68868.89,68838.0,68845.81,5.67649,1573
2026-02-16 01:00:00,68845.81,68855.28,68787.08,68809.09,5.8346,3666
2026-02-16 01:01:00,68809.09,68846.69,68809.08,68816.0,2.99413,1358
2026-02-16 01:02:00,68816.0,68860.0,68816.0,68860.0,1.27812,974
2026-02-16 01:03:00,68860.31,68934.0,68860.31,68933.99,6.82409,1922
2026-02-16 01:04:00,68934.0,68956.6,68930.0,68930.13,7.77644,2758
2026-02-16 01:05:00,68930.13,68956.6,68930.12,68956.59,3.16191,1766
2026-02-16 01:06:00,68956.6,68956.6,68940.09,68945.6,1.95903,2076
2026-02-16 01:07:00,68945.6,68969.7,68926.34,68942.0,2.83039,2865
2026-02-16 01:08:00,68942.0,68969.7,68934.89,68964.01,3.01853,2374
2026-02-16 01:09:00,68964.0,68984.83,68951.77,68982.95,4.64668,1926
2026-02-16 01:10:00,68982.94,69036.0,68943.49,69036.0,9.29831,3084
2026-02-16 01:11:00,69035.99,69041.97,68974.06,68974.06,7.02123,2846
2026-02-16 01:12:00,68974.06,68974.06,68884.0,68892.71,6.21175,5872
2026-02-16 01:13:00,68892.72,68908.47,68841.12,68857.42,11.66309,2950
2026-02-16 01:14:00,68857.43,68881.03,68857.42,68865.2,1.65149,991
2026-02-16 01:15:00,68865.2,68916.0,68861.89,68907.12,2.13456,2129
2026-02-16 01:16:00,68907.13,68907.13,68892.4,68903.67,2.54968,1647
