bet,profit,bankroll,win
2.0,-2.0,18.0,False
1.8,-1.8,16.2,False
1.62,-1.62,14.579999999999998,False
1.458,0.6188405473426164,15.198840547342614,True
1.5198840547342616,-1.5198840547342616,13.678956492608354,False
1.3678956492608354,-1.3678956492608354,12.311060843347517,False
1.2311060843347519,-1.2311060843347519,11.079954759012766,False
1.1079954759012767,-1.1079954759012767,9.97195928311149,False
0.997195928311149,-0.997195928311149,8.974763354800341,False
0.8974763354800341,0.37852001993585604,9.353283374736197,True
0.9353283374736198,0.5626722231866478,9.915955597922844,True
0.9915955597922844,-0.9915955597922844,8.92436003813056,False
0.8924360038130561,-0.8924360038130561,8.031924034317504,False
0.8031924034317504,-0.8031924034317504,7.228731630885753,False
0.7228731630885754,0.31361229265044854,7.542343923536202,True
0.7542343923536202,-0.7542343923536202,6.788109531182582,False
0.6788109531182582,-0.6788109531182582,6.109298578064323,False
0.6109298578064324,0.3530763592830216,6.462374937347345,True
0.6462374937347346,0.421445313835046,6.883820251182391,True
0.6883820251182392,0.28341700899122946,7.1672372601736205,True
0.7167237260173621,0.2747899651087482,7.442027225282368,True
0.7442027225282368,-0.7442027225282368,6.697824502754131,False
0.6697824502754132,-0.6697824502754132,6.028042052478718,False
0.6028042052478719,0.22496933385931528,6.253011386338033,True
0.6253011386338034,0.31289071742521923,6.565902103763253,True
0.6565902103763253,-0.6565902103763253,5.909311893386928,False
0.5909311893386928,-0.5909311893386928,5.318380704048235,False
0.5318380704048236,-0.5318380704048236,4.786542633643411,False
0.47865426336434114,-0.47865426336434114,4.30788837027907,False
0.430788837027907,0.1812584394883277,4.489146809767398,True
